Class_Name,Number
420,1105
2000,1114
29ER,903
505,903
ALBACORE,1040
BLAZE,1033
BRITISH_MOTH,1160
BYTE_CII,1135
COMET,1210
COMET_TRIO_(MK_I),1104
COMET_TRIO_(MK_II),1052
CONTENDER,969
DEVOTI_D-ONE,948
DEVOTI_D-ZERO,1029
ENTERPRISE,1122
EUROPE,1141
FINN,1049
FIREBALL,952
FIREFLY,1172
GP14,1130
GRADUATE,1132
HADRON_H2,1034
KESTREL,1038
LARK,1073
LASER,1100
ILCA_7,1100
LASER_4.7,1208
ILCA_4,1208
LASER_RADIAL/_ILCA_6,1147
LIGHTNING_368,1162
MEGABYTE,1076
MERLIN_ROCKET,980
MIRACLE,1194
MIRROR_(D/H),1390
MIRROR_(S/H),1380
MUSTO_SKIFF,849
NATIONAL_12,1064
OK,1104
OPTIMIST,1642
OSPREY,930
PHANTOM,1004
ROOSTER_8.1,1045
RS_100_8.4,1004
RS_100_10.2,981
RS_200,1046
RS_300,970
RS_400,942
RS_500,966
RS_600,920
RS_700,845
RS_800,799
RS_AERO_5,1136
RS_AERO_7,1065
RS_AERO_9,1014
RS_FEVA_XL,1244
RS_TERA_PRO,1359
RS_TERA_SPORT,1445
RS_VAREO,1093
RS_VISION,1137
SCORPION,1041
SEAFLY,1071
SNIPE,1108
SOLO,1142
SOLUTION,1092
STREAKER,1128
SUPERNOVA,1077
TASAR,1022
TOPPER,1365
WANDERER,1193
WAYFARER,1102
B14,860
BYTE_CI,1215
CADET,1430
CANOE_INTERNATIONAL,884
HORNET,955
LASER_STRATOS,1103
TOPPER_4.2,1409
FLYING_FIFTEEN,1021
K1,1064
K6,919
A_CLASS,684
CATAPULT,898
CHALLENGER,1173
DART_18,832
FORMULA_18,670
HURRICANE_5.9_SX,695
SPITFIRE,719
SPRINT_15_,926
SPRINT_15_SPORT_,904
